Unnamed: 0,x,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18
0,0.0,0.809,0.85675,0.8734999999999999,0.9155,0.93535,0.9490000000000001,0.9688599999999999,0.9820000000000002,0.9940000000000001,1.0049,1.013,1.0215,1.03,1.0355,1.038,1.0365,1.0395,1.045,1.05
1,0.1,0.812,0.85775,0.8795000000000001,0.9155,0.93735,0.95,0.9676,0.9840000000000001,0.995,1.0059,1.015,1.0205,1.029,1.0365,1.039,1.036,1.0395,1.043,1.048
2,0.2,0.815,0.86175,0.8795000000000001,0.9225,0.93735,0.95,0.97,0.986,0.997,1.0029,1.014,1.0225,1.028,1.0355,1.037,1.0365,1.0385,1.044,1.048
3,0.3,0.818,0.8643500000000001,0.8775,0.9185,0.93735,0.9490000000000001,0.9723999999999999,0.9890000000000001,0.998,1.0069,1.015,1.0205,1.03,1.0355,1.036,1.0355,1.0395,1.044,1.047
4,0.4,0.821,0.86275,0.8785,0.9155,0.93695,0.9540000000000001,0.97317,0.991,0.996,1.0059,1.016,1.0205,1.032,1.036,1.036,1.0355,1.0385,1.044,1.046
5,0.5,0.8240000000000001,0.8647499999999999,0.8765000000000001,0.9215000000000001,0.93735,0.951,0.9714,0.992,0.998,1.0039,1.0145,1.0175,1.031,1.0355,1.0355,1.0365,1.0385,1.046,1.047
6,0.6000000000000001,0.8270000000000001,0.86925,0.8835,0.9205,0.93435,0.955,0.97077,0.993,0.996,1.0059,1.014,1.0225,1.035,1.0355,1.035,1.0355,1.0405,1.046,1.047
7,0.7000000000000001,0.83,0.873875,0.8905,0.9235,0.9333499999999999,0.956,0.9679000000000001,0.992,0.998,1.0059,1.015,1.0205,1.034,1.0365,1.035,1.0365,1.0415,1.048,1.046
8,0.8,0.833,0.8785,0.894,0.9245,0.94227,0.9520000000000001,0.98225,0.998,0.997,1.0079,1.013,1.0185,1.035,1.0365,1.036,1.0355,1.0425,1.048,1.046
9,0.9,0.836,0.8925,0.9025,0.9265000000000001,0.94627,0.956,0.9852500000000001,0.996,0.9990000000000001,1.0089,1.014,1.0245,1.037,1.0375,1.037,1.0355,1.0425,1.05,1.047
